latitude,longitude
43.64706,-79.38093
43.64442,-79.38208
43.6533,-79.37517
43.64694,-79.3837
43.6452,-79.37334
43.66234,-79.36718
43.6513,-79.40564
43.65086,-79.39739
43.65774,-79.38866
43.6451,-79.36559
43.65913,-79.36734
43.64269,-79.39406
43.66187,-79.41758
43.65431,-79.39654
43.64012,-79.38469
43.64604,-79.39231
43.65984,-79.39062
43.65797,-79.40025
43.65655,-79.38345
43.65456,-79.37759
43.64811,-79.37603
43.64968,-79.36452
43.66057,-79.38209
43.65513,-79.39906
43.6603,-79.40101
43.6555,-79.38845
43.66049,-79.41463
43.65285,-79.39345
43.65525,-79.38602
43.64267,-79.38259
43.65683,-79.37565
43.66105,-79.39491
43.64605,-79.36818
43.64398,-79.39472
43.66096,-79.37354
43.6477,-79.39952
43.65065,-79.39392
43.66188,-79.38917
43.64025,-79.39442
43.65418,-79.37107
43.66095,-79.39716
43.65332,-79.40709
43.64799,-79.38634
43.64756,-79.3884
43.6568,-79.36567
43.65243,-79.39064
43.65583,-79.40398
43.65208,-79.38074
43.6618,-79.40854
43.66215,-79.39952
43.64247,-79.39925
43.65261,-79.36642
43.65194,-79.40281
43.6506,-79.37127
43.66044,-79.39694
43.65389,-79.38303
43.64729,-79.3685
43.64965,-79.39214
43.66136,-79.37625
43.65649,-79.36694
43.64166,-79.38669
43.65817,-79.36549
43.64535,-79.37268
43.65463,-79.369
43.65194,-79.37777
43.65051,-79.36923
43.6417,-79.37523
43.64241,-79.37761
43.64392,-79.36897
43.63901,-79.3926
43.64576,-79.38699
43.65347,-79.41499
43.65393,-79.4004
43.66118,-79.40427
43.64456,-79.39032
43.65291,-79.39817
43.65818,-79.38638
43.64646,-79.40367
43.64153,-79.37915
43.64548,-79.40183
43.66012,-79.37701
43.64815,-79.38259
43.651,-79.36946
43.6445,-79.38629
43.64061,-79.38272
43.65372,-79.37323
43.65548,-79.41262
43.64604,-79.39895
43.64968,-79.41099
43.65408,-79.37997
43.65502,-79.36715
43.6432,-79.40241
43.65623,-79.38987
43.64947,-79.37145
43.65599,-79.41015
43.64333,-79.38449
43.65648,-79.39744
43.6607,-79.37473
43.65155,-79.367
43.63909,-79.38995
43.66075,-79.41343
43.64638,-79.38408
43.64872,-79.39648
43.64596,-79.38342
43.66112,-79.40236
43.64752,-79.38544
43.656,-79.39346
43.63738,-79.39364
43.66044,-79.41062
43.63813,-79.39011
43.64832,-79.40708
43.64933,-79.3661
43.64942,-79.37418
43.65065,-79.38745
43.65178,-79.37243
43.65588,-79.39403
43.65007,-79.39908
43.65866,-79.36948
43.64062,-79.3972
43.66213,-79.3834
43.6447,-79.40096
43.6543,-79.39144
43.64663,-79.36487
43.65115,-79.3813
43.6433,-79.37315
43.66332,-79.39199
43.66179,-79.36972
43.66217,-79.37786
43.66002,-79.41689
43.64258,-79.37611
43.64876,-79.36845
43.64958,-79.37593
43.65713,-79.41954
43.65664,-79.37654
43.658,-79.41816
43.65972,-79.37907
43.6571,-79.40449
43.64797,-79.36136
43.66248,-79.38127
43.65121,-79.40091
43.65606,-79.39941
43.63935,-79.38844
43.66086,-79.36599
43.65175,-79.4039
43.66306,-79.40223
43.6445,-79.39316
43.64184,-79.399
43.65169,-79.40908
43.6461,-79.37915
43.64337,-79.39773
43.64311,-79.39244
43.65267,-79.37809
43.64784,-79.37079
43.65832,-79.37101
43.65915,-79.42125
43.6591,-79.3821
43.64761,-79.40201
43.64842,-79.38433
43.65672,-79.37033
43.64863,-79.3866
43.65561,-79.36443
43.66018,-79.40716
43.65626,-79.38474
43.64188,-79.38381
43.65924,-79.38519
43.66054,-79.38743
43.65574,-79.38372
43.65941,-79.39259
43.64422,-79.38762
43.65716,-79.3741
43.66171,-79.38539
43.63773,-79.392
43.64525,-79.37635
43.65295,-79.36476
43.65854,-79.4065
43.64633,-79.37526
43.64615,-79.38197
43.65788,-79.38158
43.64581,-79.36932
43.65647,-79.40772
43.64476,-79.39852
43.65864,-79.39011
43.66123,-79.37224
43.65871,-79.37404
43.64463,-79.40431
43.65512,-79.41681
43.65937,-79.38744
43.65368,-79.39453
43.64057,-79.39015
43.65954,-79.40158
43.65165,-79.39853
43.64207,-79.39635
43.64217,-79.40065
43.64093,-79.39474
43.6491,-79.39076
43.65055,-79.36718
43.65834,-79.37723
43.65448,-79.36694
43.6494,-79.40271
43.6565,-79.41303
43.64895,-79.37878
43.64713,-79.36643
43.65855,-79.41449
43.65029,-79.38536
43.65514,-79.37495
43.64209,-79.38115
43.64466,-79.37517
43.66075,-79.36652
43.64732,-79.39936
43.65226,-79.37637
43.6614,-79.38311
43.65788,-79.40067
43.64167,-79.39188
43.65226,-79.40622
43.64854,-79.39741
43.64307,-79.37134
43.64894,-79.40599
43.63997,-79.38537
43.64807,-79.40829
43.65814,-79.39895
43.64883,-79.36986
43.65896,-79.39468
43.64051,-79.3788
43.65217,-79.40165
43.65175,-79.36609
43.64981,-79.39798
43.65634,-79.38092
43.64476,-79.36661
43.64507,-79.3919
43.65991,-79.41748
43.63803,-79.39432
43.65333,-79.38282
43.65041,-79.38862
43.64078,-79.39239
43.63855,-79.39236
43.64002,-79.39564
43.64035,-79.39817
43.65482,-79.38496
43.65246,-79.37545
43.65397,-79.37206
43.65629,-79.39834
43.65834,-79.38567
43.65724,-79.40377
43.65222,-79.37331
43.64861,-79.37385
43.65521,-79.41387
43.65371,-79.41236
43.6487,-79.40091
43.64731,-79.39283
43.64132,-79.38136
43.65929,-79.36657
