latitude,longitude,magnitude
43.690272700,-79.292675000,11764
43.713900000,-79.377589000,16962
43.649341900,-79.420780000,11860
43.650140500,-79.439714000,13572
43.649445700,-79.424738000,14775
43.649883400,-79.435598000,10205
43.774412500,-79.337132000,9900
43.665693000,-79.491175000,23158
43.665584000,-79.482104000,18021
43.665437600,-79.468576000,9675
43.665388100,-79.464561000,19464
43.734076900,-79.381419000,27993
43.649623300,-79.431438000,14442
43.740245000,-79.232044000,15975
43.738842400,-79.238405000,18352
43.662516500,-79.386370000,11998
43.676982000,-79.447423000,7138
43.690225200,-79.577032328,21314
43.652296000,-79.406015000,15414
43.662597000,-79.364003000,9592
43.648635400,-79.386558000,7279
43.647371000,-79.386050000,8437
43.720980100,-79.378926000,24828
43.643904000,-79.402670000,15478
43.726712000,-79.303485000,23584
43.646303000,-79.366295000,13327
43.641006000,-79.380705000,13737
43.641609300,-79.380953000,24814
43.659109000,-79.328373000,27371
43.655081000,-79.337519000,31363
43.651070100,-79.346973000,10974
43.647757200,-79.361271000,15771
43.645501000,-79.369794000,22735
43.644197000,-79.375860200,10520
43.643170000,-79.377910000,17008
43.642100400,-79.377444000,18261
43.653562000,-79.363581000,9398
43.638474000,-79.392196000,24526
43.636444000,-79.399607000,26327
43.735594000,-79.253201000,20253
43.617291900,-79.487299000,8502
43.705698200,-79.423936000,8121
43.709205700,-79.386196000,14649
43.635866000,-79.401893000,21335
43.634499000,-79.408721000,25571
43.654548800,-79.363998000,14745
43.633386500,-79.434586000,10490
43.669426700,-79.382476000,10905
43.638362000,-79.453530000,30083
43.666059447,-79.393177629,18591
43.636221700,-79.465271000,34804
43.635079000,-79.468076000,37009
43.623005474,-79.481143355,18994
43.614940300,-79.488612000,8705
43.613712000,-79.489287000,7610
43.603628700,-79.493109000,7179
43.601723300,-79.500725000,7960
43.711040775,-79.505969882,26623
43.600006300,-79.508604000,7847
43.598158100,-79.516936000,16881
43.597212100,-79.521281000,15944
43.595329600,-79.529673300,11260
43.594339100,-79.533932000,11202
43.593382000,-79.538092000,13675
43.592354742,-79.542584717,12072
43.591686475,-79.543821216,10946
43.651551400,-79.362731000,14319
43.652720700,-79.363216000,10781
43.655609300,-79.364434000,10563
43.656946400,-79.364973000,8907
43.659443800,-79.365987000,11666
43.661955700,-79.367007000,13840
43.664268600,-79.367958000,8226
43.668161000,-79.369537000,12878
43.672016000,-79.370764000,17264
43.650382000,-79.367892000,13597
43.651281700,-79.368252000,10293
43.652149200,-79.368634000,11996
43.653379600,-79.369114000,14364
43.654531300,-79.369440000,11522
43.658303800,-79.371000000,11697
43.661228000,-79.372218000,15254
43.663196500,-79.373038000,8143
43.667066400,-79.374656000,13302
43.672317400,-79.376838000,15339
43.644754700,-79.384981000,11290
43.646092900,-79.385564000,9034
43.654313000,-79.391437000,10100
43.653810400,-79.393832000,11610
43.649514600,-79.389134000,8831
